amount,balance_before_txn,balance,transactionduration,is_fraud
17.55,5000.0,4982.45,4.8436,0
36.11,4982.45,4946.34,11.9418,0
103.18,4946.34,4843.16,8.2101,0
146.59,4843.16,4696.58,7.1887,0
35.89,4696.58,4660.69,4.3215,0
60.96,4660.69,4599.73,8.2318,0
40.86,4599.73,4558.87,18.7227,0
106.83,4558.87,4452.04,3.6907,0
40.82,4452.04,4411.22,1.0569,0
46.12,4411.22,4365.09,22.2051,0
42.32,4365.09,4322.78,4.554,0
20.88,4322.78,4301.9,7.3611,0
28.17,4301.9,4273.73,21.5249,0
19.75,4273.73,4253.98,0.015,0
134.88,4253.98,4119.1,10.1,0
47.51,4119.1,4071.59,26.0005,0
24.47,4071.59,4047.12,5.5057,0
33.55,4047.12,4013.57,3.2112,0
34.91,4013.57,3978.66,52.8669,0
54.18,3978.66,3924.48,36.416,0
24.71,3924.48,3899.77,5.5243,0
54.43,3899.77,3845.34,1.8774,0
143.02,3845.34,3702.32,2.7501,0
51.77,3702.32,3650.55,9.6451,0
12.74,3650.55,3637.81,7.6973,0
115.09,3637.81,3522.72,7.1053,0
179.98,3522.72,3342.74,17.5862,0
31.76,3342.74,3310.98,2.8689,0
39.22,3310.98,3271.76,7.3139,0
52.41,3271.76,3219.36,5.56,0
27.37,3219.36,3191.99,1.6177,0
26.53,3191.99,3165.45,17.9341,0
715.52,3165.45,2449.93,0.1915,1
64.31,2449.93,2385.62,17.4637,0
92.05,2385.62,2293.57,0.197,0
75.87,2293.57,2217.7,32.0397,0
47.34,2217.7,2170.36,12.1444,0
52.36,2170.36,2118.0,38.4689,0
141.08,2118.0,1976.92,26.53,0
34.02,1976.92,1942.9,22.9745,0
33.7,1942.9,1909.2,28.0594,0
17.22,1909.2,1891.98,17.3911,0
28.6,1891.98,1863.38,5.3307,0
56.39,1863.38,1806.99,14.8456,0
74.49,1806.99,1732.5,7.9718,0
50.09,1732.5,1682.4,6.7829,0
52.47,1682.4,1629.93,19.664,0
40.58,1629.93,1589.35,54.0317,0
18.5,1589.35,1570.85,17.4057,0
57.68,1570.85,1513.17,66.3175,0
86.86,1513.17,1426.31,3.2936,0
72.28,1426.31,1354.04,27.815,0
21.52,1354.04,1332.51,25.2173,0
35.81,1332.51,1296.7,24.7084,0
97.02,1296.7,1199.68,18.6561,0
19.82,1199.68,1179.86,2.3271,0
